ID;xstart;ystart;xend;yend
4050;538358.8257;5292993.652;538446.2891;5293315.918
4051;538565.5518;5292382.813;538590.6982;5292639.16
4052;538757.6904;5292657.715;538796.814;5292984.375
4053;539180.481;5293497.07;539343.2617;5293926.27
4054;540193.7866;5291737.305;540386.6577;5291992.188
4055;542619.1406;5296637.695;542767.395;5296909.668
4056;540360.6567;5299193.359;540294.1284;5299393.066
4057;535213.0737;5289700.195;535182.312;5289862.793
4058;549795.7764;5283937.5;549901.3062;5284073.242
4059;550052.8564;5280919.434;550107.9712;5281053.711
4061;551130.8594;5280980.469;551358.1543;5281120.117
4062;550755.249;5281033.691;550813.2935;5281178.223
4063;547240.6616;5283641.113;547507.8735;5283879.395
4064;546882.019;5283378.906;547095.0928;5283496.582
4065;544655.6396;5282101.074;544705.4443;5282235.84
4066;546937.6221;5287604.981;547121.6431;5287740.723
4067;559405.5176;5275773.926;559785.0342;5276095.215
4068;524236.8774;5281291.992;523199.3408;5282412.109
4069;552025.1465;5274812.5;551910.5835;5274989.258
4070;551330.3223;5274481.934;551330.3223;5274668.457
4071;552841.4917;5273177.734;552945.8008;5273331.055
4072;551769.5923;5274046.387;551857.2998;5274264.16
4073;524080.0171;5283260.742;523952.1484;5283523.926
4074;524503.9062;5283136.719;524285.8887;5283292.969
4075;531116.9434;5283965.82;530969.1772;5284331.543
4076;526311.4014;5288304.199;526064.8804;5288475.098
4077;527621.521;5288690.918;527602.2339;5288853.516
4078;524326.2329;5290272.949;524192.5659;5290575.684
4079;524302.124;5290009.766;524203.4912;5290170.41
4080;535539.1846;5282590.82;535613.1592;5282693.848
4081;550750.1221;5274121.582;550721.1914;5274354.981
4082;521305.9692;5287970.703;521212.4023;5288149.414
4083;550913.4521;5277753.418;550929.6875;5277949.707
4085;551350.4639;5276545.898;551326.5381;5276655.273
4087;553264.1602;5277923.34;553262.207;5278107.422
4088;551499.8169;5277840.332;551639.4043;5278147.949
4089;551432.251;5278162.598;551459.5337;5278413.086
4090;550805.8472;5278382.324;550832.7026;5278531.25
4091;551607.9102;5278478.027;551677.9175;5278878.418
4092;550330.2612;5277931.152;550385.3149;5278333.496
4093;551146.9116;5278372.559;551144.2871;5278648.438
4096;549005.9814;5278833.984;549045.105;5279121.582
4097;553430.603;5280462.891;553408.4473;5280684.082
